"Type","Flight.Type","Day","AverageDelay","TotalFlight"
"Arrival","Domestic","2016-04-15",1.92,1863
"Arrival","Domestic","2016-04-16",-0.65,1386
"Arrival","Domestic","2016-04-17",-2.47,1464
"Arrival","Domestic","2016-04-18",-0.66,1840
"Arrival","Domestic","2016-04-19",-1.26,1762
"Arrival","Domestic","2016-04-20",0.52,1734
"Arrival","Domestic","2016-04-21",-1.84,1517
"Arrival","Domestic","2016-04-22",-1.38,1081
"Arrival","Domestic","2016-04-23",-2.08,965
"Arrival","Domestic","2016-04-24",-0.23,1361
"Arrival","Domestic","2016-04-25",0.64,1850
"Arrival","Domestic","2016-04-26",3.09,1652
"Arrival","Domestic","2016-04-27",2.54,1679
"Arrival","Domestic","2016-04-28",1.02,1737
"Arrival","Domestic","2016-04-29",1.32,1830
"Arrival","Domestic","2016-04-30",4.18,1312
"Arrival","Domestic","2016-05-01",-0.04,1561
"Arrival","Domestic","2016-05-02",3.55,1806
"Arrival","Domestic","2016-05-03",1.35,1668
"Arrival","Domestic","2016-05-04",6.18,1649
"Arrival","Domestic","2016-05-05",-0.44,1656
"Arrival","Domestic","2016-05-06",1.67,1773
"Arrival","Domestic","2016-05-07",1.51,1263
"Arrival","Domestic","2016-05-08",0.31,1382
"Arrival","Domestic","2016-05-09",6.27,1742
"Arrival","Domestic","2016-05-10",2.84,1629
"Arrival","Domestic","2016-05-11",0.59,1643
"Arrival","Domestic","2016-05-12",2.73,1700
"Arrival","Domestic","2016-05-13",1.56,1754
"Arrival","Domestic","2016-05-14",-0.33,1289
"Arrival","Domestic","2016-05-15",0.19,1387
"Arrival","Domestic","2016-05-16",7.3,1701
"Arrival","Domestic","2016-05-17",2.6,1579
"Arrival","Domestic","2016-05-18",4.6,1554
"Arrival","Domestic","2016-05-19",3.47,1585
"Arrival","Domestic","2016-05-20",2.55,1686
"Arrival","Domestic","2016-05-21",2,1219
"Arrival","Domestic","2016-05-22",1.47,1321
"Arrival","Domestic","2016-05-23",5.89,1685
"Arrival","Domestic","2016-05-24",6,1591
"Arrival","Domestic","2016-05-25",1.23,1636
"Arrival","Domestic","2016-05-26",-0.1,1371
"Arrival","Domestic","2016-05-27",-0.82,1031
"Arrival","Domestic","2016-05-28",0.11,889
"Arrival","Domestic","2016-05-29",2.86,1260
"Arrival","Domestic","2016-05-30",7,1700
"Arrival","Domestic","2016-05-31",2.96,1620
"Arrival","Domestic","2016-06-01",3.14,1590
"Arrival","Domestic","2016-06-02",4.17,1654
"Arrival","Domestic","2016-06-03",6.04,1698
"Arrival","Domestic","2016-06-04",7.41,1262
"Arrival","Domestic","2016-06-05",3.11,1328
"Arrival","Domestic","2016-06-06",10.06,1636
"Arrival","Domestic","2016-06-07",4.67,1582
"Arrival","Domestic","2016-06-08",5.02,1587
"Arrival","Domestic","2016-06-09",0.72,1627
"Arrival","Domestic","2016-06-10",5.49,1730
"Arrival","Domestic","2016-06-11",1.53,1275
"Arrival","Domestic","2016-06-12",-0.12,1359
"Arrival","Domestic","2016-06-13",4.93,1694
"Arrival","Domestic","2016-06-14",1.89,1598
"Arrival","Domestic","2016-06-15",4.9,1617
"Arrival","Domestic","2016-06-16",0.35,1635
"Arrival","Domestic","2016-06-17",4.8,1683
"Arrival","Domestic","2016-06-18",12.99,1285
"Arrival","Domestic","2016-06-19",7.92,1367
"Arrival","Domestic","2016-06-20",1.74,1686
"Arrival","Domestic","2016-06-21",2.55,1578
"Arrival","Domestic","2016-06-22",1.18,1588
"Arrival","Domestic","2016-06-23",24.85,1631
"Arrival","Domestic","2016-06-24",3.89,1711
"Arrival","Domestic","2016-06-25",7.82,1264
"Arrival","Domestic","2016-06-26",-0.47,1381
"Arrival","Domestic","2016-06-27",2.56,1698
"Arrival","Domestic","2016-06-28",4.95,1565
"Arrival","Domestic","2016-06-29",3.63,1595
"Arrival","Domestic","2016-06-30",14.19,1651
"Arrival","Domestic","2016-07-01",6.1,1693
"Arrival","Domestic","2016-07-02",3.93,1314
